(Intercept)	genotypeTSH660	time24	time48	blockB2	blockB3	genotypeTSH660:time24	genotypeTSH660:time48	genotypeTSH660:blockB2	genotypeTSH660:blockB3
leaf_pa121_24h_0h	0	0	1	0	0	0	0	0	0	0
leaf_pa121_48h_0h	0	0	0	1	0	0	0	0	0	0
leaf_tsh660_24h_0h	0	0	1	0	0	0	1	0	0	0
leaf_tsh660_48h_0h	0	0	0	1	0	0	0	1	0	0
leaf_pa121_tsh660_0h_0h	0	-1	0	0	0	0	0	0	-0.333333333333333	-0.333333333333333
leaf_pa121_tsh660_24h_24h	0	-1	0	0	0	0	-1	0	-0.333333333333333	-0.333333333333333
leaf_pa121_tsh660_48h_48h	0	-1	0	0	0	0	0	-1	-0.333333333333333	-0.333333333333333
leaf_pa121_cd_no_cd	0	0	0.5	0.5	0	0	0	0	0	0
leaf_tsh660_cd_no_cd	0	0	0.5	0.5	0	0	0.5	0.5	0	0
leaf_24h_0h	0	0	1	0	0	0	0.5	0	0	0
leaf_48h_0h	0	0	0	1	0	0	0	0.5	0	0
